LV,Item,Coefficient,ci.lower,ci.upper,SE,Z,p-value
B,b1,-0.19507884541462897,-0.26106571845586296,-0.12909197237339498,0.033667390606016256,-5.794296555307407,6.860813472897576e-9
B,b2,0.43509697201948,0.3284410228745583,0.5417529211644017,0.054417300514810606,7.995563320915944,1.3322676295501878e-15
B,b3,0.21667592776119582,0.12018257730947518,0.31316927821291646,0.04923220590421452,4.401101347820113,1.077028005824765e-5
B,b4,0.3412294724411093,0.21667849835830255,0.46578044652391604,0.06354758305012183,5.369668775159736,7.888138453537863e-8
B,b5,-0.00643749622397658,-0.058060293444219625,0.04518530099626646,0.026338645825860627,-0.2444125740760718,0.8069113043327543
B,b6,0.07132887827888378,-0.008306510950108828,0.1509642675078764,0.040631047232064676,1.7555264542281694,0.07916929975726195
B,b7,-0.0870732493901112,-0.12860904495115888,-0.04553745382906352,0.02119212183931784,-4.1087556050458245,3.9779676612283765e-5
B,b8,0.3120322266422334,0.19374349829111892,0.4303209549933479,0.06035250100724345,5.170162320278717,2.3389074788049413e-7
B,b9,-0.04600374857272991,-0.1107546489630104,0.018747151817550593,0.03303678072710895,-1.3925009507654802,0.16377075393708362
B,b10,-0.6284986064066358,-0.7287898664531355,-0.5282073463601361,0.05116995048765407,-12.28257210368565,0
B,b11,-0.08084508487643714,-0.14647264125415388,-0.01521752849872042,0.03348406240899248,-2.4144347806114883,0.015759644105285187
B,b12,0.11466314230544601,0.027050959489770376,0.20227532512112165,0.04470091466310064,2.565118480676129,0.010314057920214559
B,b13,-0.05643857061930508,-0.0901318192139198,-0.022745322024690352,0.017190748840480122,-3.283078075482418,0.0010268022324262382
B,b14,0.42213019612997993,0.3028539839751635,0.5414064082847964,0.060856328532387316,6.936504490331275,4.019229393747992e-12
S,s1,0.5930000454529394,0.42820918801651353,0.7577909028893652,0.08407851304221668,7.05293212256487,1.751931932858497e-12
S,s2,0.09768015290416542,0.020101217821437464,0.17525908798689338,0.039581816653091954,2.4678036826926455,0.013594485369962106
S,s3,0.3702071749299655,0.2560584983599622,0.48435585149996885,0.058240190876155666,6.356558406842953,2.0632406894094402e-10
S,s4,-0.0642903219339959,-0.16386640690041143,0.035285763032419634,0.05080505853773795,-1.2654315098611906,0.20571668574638435
T,t1,0.5055613750714711,0.4195850628455573,0.591537687297385,0.043866271474416886,11.52505918736034,0
T,t2,0.04575120556772614,0.01616561777657587,0.07533679335887641,0.01509496502207062,3.0308917907946444,0.002438326158678228
T,t3,0.013380956242989466,-0.016872382284142624,0.04363429477012156,0.015435660433439887,0.866885890674357,0.3860045349527499
T,t4,-0.12222444090533081,-0.2327518937787576,-0.011696988031904013,0.056392593815627876,-2.1673846268702612,0.03020553848296692
T,t5,-0.18219967636798068,-0.24108095481866582,-0.12331839791729554,0.0300420206264672,-6.064827617069861,1.3209524585278132e-9
T,t6,0.45261989161065436,0.36021110905713916,0.5450286741641696,0.04714820439682766,9.599939115414301,0
T,t7,0.6417297333597664,0.5557036135438239,0.7277558531757088,0.04389168397710647,14.62075899604324,0
